paper_A_title,paper_B_title,paper_A_authors,paper_B_authors,similarity
Airline disruption management with delay ledgers,Airline Disruption Management with Delay Ledgers,Hamsa Balakrishnan,Christopher Chin and Hamsa Balakrishnan and Karthik Gopalakrishnan and Max Z Li,1.0
Technical report on data integration and preparation,Technical Report: An Overview of Data Integration and Preparation,El Kindi Rezig and Michael Cafarella and Vijay Gadepally,ElKindi Rezig and Mike Cafarella and Vijay Gadepally,0.9988
Multicore paging algorithms cannot be competitive,Multicore Paging Algorithms Cannot Be Competitive,Shahin Kamali and Helen Xu,Helen Xu and Shahin Kamali,0.9984
Toward sustainable hpc: Carbon footprint estimation and environmental implications of hpc systems,"Sustainable hpc: Modeling, characterization, and implications of carbon footprint in modern hpc systems",Baolin Li and Rohan Basu Roy and Daniel Wang and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9981
Miso: exploiting multi-instance gpu capability on multi-tenant gpu clusters,Using Multi-Instance GPU for Efficient Operation of Multi-Tenant GPU Clusters,Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Baolin Li and Tirthak Patel and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9978
Personalized federated learning with theoretical guarantees: A model-agnostic meta-learning approach,Personalized federated learning: A meta-learning approach,Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,0.9976
Brief announcement: Fast concurrent cuckoo kick-out eviction schemes for high-density tables,Fast concurrent cuckoo kick-out eviction schemes for high-density tables,William Kuszmaul,William Kuszmaul,0.9968
Score-based source separation with applications to digital communication signals,Score-based Source Separation with Applications to Digital Communication Signals,Tejas Jayashankar and Gary CF Lee and Alejandro Lancho and Amir Weiss and Yury Polyanskiy and Gregory Wornell,TejasJayashankar GaryC F Lee AlejandroLancho AmirWeiss and Yury Polyanskiy Gregory W Wornell,0.9967
Mashup: making serverless computing useful for hpc workflows via hybrid execution,Mashup: Making Serverless Computing Useful for HPC Workflows via Hybrid Execution,Rohan Basu Roy and Tirthak Patel and Vijay Gadepally and Devesh Tiwari,Rohan Basu Roy and Tirthak Patel and Vijay Gadepally and Devesh Tiwari,0.9956
Cache-Efficient Parallel-Partition Algorithms Using Exclusive-Read-and-Write Memory,Cache-Efficient Parallel-Partition Algorithms using Exclusive-Read-and-Write Memory,William Kuszmaul and Alek Westover,Alek Westover and William Kuszmaul,0.9955
Performance Bounds for Quantum Control,Performance Bounds for Quantum Feedback Control,Flemming Holtorf and Frank Schäfer and Julian Arnold and Christopher Rackauckas and Alan Edelman,Flemming Holtorf and Frank Schäfer and Julian Arnold and Christopher V Rackauckas and Alan Edelman,0.9946
Catalyst: Fast and flexible modeling of reaction networks,Catalyst: fast biochemical modeling with Julia,Torkel E Loman and Yingbo Ma and Vasily Ilin and Shashi Gowda and Niklas Korsbo and Nikhil Yewale and Chris Rackauckas and Samuel A Isaacson,Torkel E Loman and Yingbo Ma and Vasily Ilin and Shashi Gowda and Niklas Korsbo and Nikhil Yewale and Chris Rackauckas and Samuel A Isaacson,0.9938
Understanding and increasing efficiency of frank-wolfe adversarial training,On frank-wolfe adversarial training,Theodoros Tsiligkaridis and Jay Roberts,Theodoros Tsiligkaridis and Jay Roberts,0.9899
Topogivity: A machine-learned chemical rule for discovering topological materials,A Machine Learning Approach for Understanding and Discovering Topological Materials,Andrew Ma and Yang Zhang and Thomas Christensen and Hoi Chun Po and Li Jing and Liang Fu and Marin Soljacic,Andrew Ma,0.9893
On a novel application of wasserstein-procrustes for unsupervised cross-lingual learning,On a Novel Application of Wasserstein-Procrustes for Unsupervised Cross-Lingual Alignment of Embeddings,Guillem Ramírez and Rumen Dangovski and Preslav Nakov and Marin Soljačić,Guillem Ramírez and Rumen Dangovski and Preslav Nakov and Marin Soljačić,0.989
Provably convergent policy gradient methods for model-agnostic meta-reinforcement learning,On the convergence theory of debiased model-agnostic meta-reinforcement learning,Alireza Fallah and Aryan Mokhtari and Asuman Ozdaglar,Alireza Fallah and Kristian Georgiev and Aryan Mokhtari and Asuman Ozdaglar,0.9882
Mosaic pages: big TLB reach with small pages,Mosaic Pages: Big TLB Reach with Small,Jaehyun Han and Krishnan Gosakan and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Guido Tagliavini and Evan West and Michael A Bender and Abhishek Bhattacharjee and Alex Conway and Martín Farach-Colton and Jayneel Gandhi and Rob Johnson and Sudarsun Kannan and Donald E Porter,AMD Krishnan Gosakan and William Kuszmaul and Ibrahim N Mubarek and Nirjhar Mukherjee and Karthik Sriram and Evan West and Michael A Bender and Abhishek Bhattacharjee and Martín Farach-Colton,0.9882
Kairos: Building cost-efficient machine learning inference systems with heterogeneous cloud resources,Building heterogeneous cloud system for machine learning inference,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9876
DICE: data discovery by example,DICE: Data Discovery by Example.,El Kindi Rezig and Anshul Bhandari and Anna Fariha and Benjamin Price and Allan Vanterpool and Vijay Gadepally and Michael Stonebraker,El Kindi Rezig and Anshul Bhandari and Anna Fariha and Benjamin Price and Allan Vanterpool and Vijay Gadepally and Michael Stonebraker,0.9872
Barriernet: Differentiable control barrier functions for learning of safe robot control,Barriernet: A safety-guaranteed layer for neural networks,Wei Xiao and Tsun-Hsuan Wang and Ramin Hasani and Makram Chahine and Alexander Amini and Xiao Li and Daniela Rus,Wei Xiao and Ramin Hasani and Xiao Li and Daniela Rus,0.9867
IcebergHT: High performance PMEM hash tables through stability and low associativity,IcebergHT: high performance hash tables through stability and low associativity,Prashant Pandey and Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini and Rob Johnson,Prashant Pandey and Michael A Bender and Alex Conway and Martin Farach-Colton and William Kuszmaul and Guido Tagliavini and Rob Johnson,0.9867
The World as a Graph: Improving El Ni\~ no Forecasts with Graph Neural Networks,Graph Neural Networks for Improved El Ni\~ no Forecasting,Salva Rühling Cachay and Emma Erickson and Arthur Fender C Bucker and Ernest Pokropek and Willa Potosnak and Suyash Bire and Salomey Osei and Björn Lütjens,Salva Rühling Cachay and Emma Erickson and Arthur Fender C Bucker and Ernest Pokropek and Willa Potosnak and Salomey Osei and Björn Lütjens,0.9853
Deep learning and symbolic regression for discovering parametric equations,Deep Learning and Symbolic Regression for Discovering Parametric Equations,Michael Zhang and Samuel Kim and Peter Y Lu and Marin Soljačić,Samuel Kim and Michael Zhang and Peter Y Lu and Marin Soljacic,0.9847
How hard are computer vision datasets? calibrating dataset difficulty to viewing time,Workshop version: How hard are computer vision datasets? Calibrating dataset difficulty to viewing time,David Mayo and Jesse Cummings and Xinyu Lin and Dan Gutfreund and Boris Katz and Andrei Barbu,David Mayo and Jesse Cummings and Xinyu Lin and Dan Gutfreund and Boris Katz and Andrei Barbu,0.9845
Clover: Toward sustainable ai with carbon-aware machine learning inference service,Green carbon footprint for model inference serving via exploiting mixed-quality models and gpu partitioning,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,Baolin Li and Siddharth Samsi and Vijay Gadepally and Devesh Tiwari,0.9844
Discovering conservation laws using optimal transport and manifold learning,Discovering Conservation Laws via Manifold Learning,Peter Y Lu and Rumen Dangovski and Marin Soljačić,Peter Lu and Rumen Dangovski and Marin Soljačić,0.984
NICE: Robust scheduling through reinforcement learning-guided integer programming,Learning-based Scheduling,Luke Kenworthy and Siddharth Nayak and Christopher Chin and Hamsa Balakrishnan,Siddharth Nagar Nayak,0.9838
Linear probing revisited: Tombstones mark the demise of primary clustering,Linear probing revisited: Tombstones mark the death of primary clustering,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,Michael A Bender and Bradley C Kuszmaul and William Kuszmaul,0.9829
Contextualizing enhances gradient based meta learning,Contextualizing Enhances Gradient Based Meta Learning for Few Shot Image Classification,Evan Vogelbaum and Rumen Dangovski and Li Jing and Marin Soljačić,Evan Vogelbaum and Rumen Dangovski and Li Jing and Marin Soljacic,0.9825
Towards data discovery by example,DICE: Data Discovery by Example.,El Kindi Rezig and Allan Vanterpool and Vijay Gadepally and Benjamin Price and Michael Cafarella and Michael Stonebraker,El Kindi Rezig and Anshul Bhandari and Anna Fariha and Benjamin Price and Allan Vanterpool and Vijay Gadepally and Michael Stonebraker,0.9823
Cache-Efficient Parallel-Partition Algorithms using Exclusive-Read-and-Write Memory,In-Place Parallel-Partition Algorithms using Exclusive-Read-and-Write Memory,Alek Westover and William Kuszmaul,William Kuszmaul and Alek Westover,0.982
Quantifying the Emergence of Symbolic Communication.,Toward Modeling the Emergence of Symbolic Communication,Emily Cheng and Yen-Ling Kuo and Josefina Correa and Boris Katz and Ignacio Cases and Andrei Barbu,Emily Cheng and Yen-Ling Kuo and Ignacio Cases and Boris Katz and Andrei Barbu,0.9814
How COVID-19 affected computer science MOOC learner behavior and achievements: A demographic study,The relationship between COVID-19 severity and computer science MOOC learner achievement: a preliminary analysis,Anindya Roy and Michael Yee and Meghan Perdue and Julius Stein and Ana Bell and Ronisha Carter and Shigeru Miyagawa,Michael Yee and Anindya Roy and Julius Stein and Meghan Perdue and Ana Bell and Ronisha Carter and Shigeru Miyagawa,0.9811
Saliency cards: A framework to characterize and compare saliency methods,Beyond Faithfulness: A Framework to Characterize and Compare Saliency Methods,Angie Boggust and Harini Suresh and Hendrik Strobelt and John Guttag and Arvind Satyanarayan,Angie Boggust and Harini Suresh and Hendrik Strobelt and John Guttag and Arvind Satyanarayan,0.9809
"Finding and optimizing certified, collision-free regions in configuration space for robot manipulators",Certified polyhedral decompositions of collision-free configuration space,Alexandre Amice and Hongkai Dai and Peter Werner and Annan Zhang and Russ Tedrake,Hongkai Dai and Alexandre Amice and Peter Werner and Annan Zhang and Russ Tedrake,0.9807
Efficient access history for race detection,Brief Announcement: Efficient Access History for Race Detection,Yifan Xu and Anchengcheng Zhou and Grace Q Yin and Kunal Agrawal and I-Ting Angelina Lee and Tao B Schardl,Yifan Xu and Anchengcheng Zhou and Grace Yin and Kunal Agrawal and I Lee and Tao Schardl,0.9807
Efficient representation of large-alphabet probability distributions,Efficient Representation of Large-Alphabet Probability Distributions via Arcsinh-Compander,Aviv Adler and Jennifer Tang and Yury Polyanskiy,Aviv Adler and Jennifer Tang and Yury Polyanskiy,0.9805
Understanding automatic differentiation pitfalls,A Short Review of Automatic Differentiation Pitfalls in Scientific Computing,Jan Hückelheim and Harshitha Menon and William Moses and Bruce Christianson and Paul Hovland and Laurent Hascoët,Jan Hueckelheim and Harshitha Menon and William S Moses and Bruce Christianson and Paul Hovland and Laurent Hascoet,0.9796
Cache-Efficient Parallel-Partition Algorithms Using Exclusive-Read-and-Write Memory,In-Place Parallel-Partition Algorithms using Exclusive-Read-and-Write Memory,William Kuszmaul and Alek Westover,William Kuszmaul and Alek Westover,0.9789
Train tracks with gaps: Applying the probabilistic method to trains,Train Tracks with Gaps,William Kuszmaul,William Kuszmaul,0.9784
Toward sustainable genai using generation directives for carbon-friendly large language model inference,Sprout: Green generative AI with carbon-efficient LLM inference,Baolin Li and Yankai Jiang and Vijay Gadepally and Devesh Tiwari,Baolin Li and Yankai Jiang and Vijay Gadepally and Devesh Tiwari,0.9781
Physically-consistent generative adversarial networks for coastal flood visualization,Physics-informed GANs for coastal flood visualization,Björn Lütjens and Brandon Leshchinskiy and Christian Requena-Mesa and Farrukh Chishtie and Natalia Díaz-Rodríguez and Océane Boulais and Aruna Sankaranarayanan and Aaron Piña and Yarin Gal and Chedy Raïssi and Alexander Lavin and Dava Newman,Björn Lütjens and Brandon Leshchinskiy and Christian Requena-Mesa and Farrukh Chishtie and Natalia Díaz-Rodriguez and Océane Boulais and Aaron Piña and Dava Newman and Alexander Lavin and Yarin Gal and Chedy Raïssi,0.978
Coded orthogonal modulation for the multi-antenna MAC,Coded Orthogonal Modulation for the Multi-Antenna Multiple-Access Channel,Alexander Fengler and Alejandro Lancho and Yury Polyanskiy,Alexander Fengler and Alejandro Lancho and Yury Polyanskiy,0.9777
Iceberg hashing: Optimizing many hash-table criteria at once,All-purpose hashing,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,Michael A Bender and Alex Conway and Martín Farach-Colton and William Kuszmaul and Guido Tagliavini,0.9772
On the importance of calibration in semi-supervised learning,Supplementary Information: Mitigating Confirmation Bias in Semi-supervised Learning via Efficient Bayesian Model Averaging,Charlotte Loh and Rumen Dangovski and Shivchander Sudalairaj and Seungwook Han and Ligong Han and Leonid Karlinsky and Marin Soljacic and Akash Srivastava,Charlotte Loh and Rumen Dangovski,0.9762
Achieving optimal backlog in multi-processor cup games,Achieving optimal backlog in the vanilla multi-processor cup game,Michael A Bender and Martín Farach-Colton and William Kuszmaul,William Kuszmaul,0.9757
